Site_Depth_Date,Ascidian,CCA,Cyanobacteria,Hydrozoan,Macroalgae,Octocoral,Other mobile invertebrates,Scleractinian,Sponge,Stable substrate,Turf,Unstable substrate,Zoanthid
82.5_5m_20200622,0,0.189267538,6.04648388665308e-05,0.000508412,0.004097835,0.005356927,6.68537962220601e-05,0.398167131,0.002764546,0.007400217,0.364614069,0.021318475,0.00637753
82.5_5m_20210701,0,0.277025349,0,0,0.002477399,0.010638289,0,0.283360976,0.000475856,0.002358131,0.372227806,0.028953925,0.02248227
82.5_5m_20220809,0,0.184055972,0,0.000284654,0.004635801,0.012551504,0.001207936,0.336736339,0.000770568,0.002842283,0.424794183,0.016897,0.01522376
Bianfudong_5m_20210716,0,0.366804226,0,0.000632802,0.004628525,0.015190911,0,0.109212699,0,0.007060226,0.453087131,0.037113333,0.006270145
Bitoujiao_10m_20160816,0,0.222493474,0.001483309,0.000760753,0.005760807,0.008177649,0,0.202771096,0.004316018,0.022296166,0.384607611,0.134242561,0.013090555
Bitoujiao_5m_20190710,0,0.232356872,0,0.000664974,0.023606874,0.007772769,0,0.114284352,0.001635199,0.015191766,0.459518728,0.144968466,0
Bitoujiao_5m_20210610,0,0.340923736,0,0,0.003135867,0.015174159,0,0.219950959,0.002210956,0.001328154,0.284671567,0.024522997,0.108081604
Bitoujiao_5m_20220726,0,0.312714554,0,0.001132014,0.001910876,0.012067418,0,0.220202737,0.001539706,0.003800718,0.37846643,0.015922842,0.052242705
Chaikou_10m_20190404,3.09599333023734e-05,0.19626297,0.000473649,0.0037933,0.039782701,0.032015908,0.000136484,0.225844617,0.001835267,0.017545673,0.440611912,0.041555901,0.000110658
Chaikou_5m_20220627,0,0.113381574,0,0.020568673,0.000464734,0.035153959,1.972833337279e-05,0.466728773,9.51418568574316e-05,0.096950328,0.232494845,0.033455158,0.000687086
Chaojing_5m_20190712,0,0.36105108,0,0,0.017590986,0.007400909,0.000156703,0.199812294,0.000541629,0.00456767,0.374492743,0.022015975,0.012370011
Chaojing_5m_20210618,0,0.269995626,0,0.000548486,0.003416878,0.02312815,0,0.312649615,0.000304197,0.004281839,0.328301704,0.026420058,0.030953447
Chaojing_5m_20220809,0,0.236258334,0,0.001198727,0.001798651,0.025514747,0.000295772,0.261225226,0.000919984,0.003332282,0.393324144,0.026135403,0.04999673
Dabaisha_10m_20170103,0,0.084733578,8.48715481714022e-05,0.088983543,0.006600638,0.414028738,0.000117272,0.145261966,0.00416569,0.003819306,0.233956033,0.018248363,0
Dabaisha_5m_20220701,0,0.177587829,0,0.007777711,0.000726444,0.030082498,0,0.355238531,0.002179828,0.012346372,0.392427708,0.018460543,0.003172536
Dabaisha_5m_20230712,0,0.140638236,0,0.018505908,0.000744692,0.05458864,0,0.434520539,0.000161534,0.013563196,0.279394048,0.051460614,0.006422591
Dafu_10m_20200611,0,0.102602191,2.26009111325301e-05,0.004118467,0.015801721,0.006920818,0.002308282,0.119446651,0.000869735,0.005819323,0.659371105,0.082516896,0.00020221
Dafu_5m_20210903,0,0.188113598,0,0.000757703,0.006758241,0.005429749,0,0.051688772,0.000146588,0.000344493,0.718297075,0.026689624,0.001774158
