Location,Site,Depth,Site_Depth_Date,Region,latitude,longitude,Ascidian_erectsingle,CCA,Cyanobacteria_filamentous,Hydrozoan_arborescent,Hydrozoan_bushy,Hydrozoan_encrusting,Macroalgae_articulated_calcareous,Macroalgae_corticated_foliose,Macroalgae_corticated_macrophyte,Macroalgae_Filamentous_Algae,Octocoral_arborescent,Octocoral_bushy,Octocoral_clustered,Octocoral_digitate,Octocoral_encrusting,Octocoral_fan,Octocoral_lobate,Octocoral_massive,Octocoral_whip,Other.mobile.invertebrates,Scleractinian_arborescent,Scleractinian_bushy,Scleractinian_columnar,Scleractinian_encrusting,Scleractinian_foliose,Scleractinian_massive,Scleractinian_tabular,Sponge_branching,Sponge_encrusting,Sponge_massive,Stable.substrate,Turf_Turf,Unstable.substrate,Zoanthid_encrusting,Zoanthid_massive,max.monthly.SST,min.monthly.SST,PAR
82.5_5m_20200622,82.5,5m,82.5_5m_20200622,North,25.1213425,121.8996135,0,0.189267538,6.04648388665308e-05,0,0,0.000508412,0.002390034,0.001172602,0.0005352,0,0,0.00053919,0,0.003249964,0.001459343,0,0.000108431,0,0,6.68537962220601e-05,0,0.002202475,0,0.338319877,0.023527327,0.033075823,0.00104163,0.002764546,0,0,0.007400217,0.364614069,0.021318475,0.004038568,0.002338963,29.60733032,19.2117939,30.22994614
82.5_5m_20210701,82.5,5m,82.5_5m_20210701,North,25.1213425,121.8996135,0,0.277025349,0,0,0,0,0.000945969,0.000990105,0.000541325,0,0,0.000324371,0,0.000805985,1.19434762024197e-05,0,0.009495989,0,0,0,4.11666463872596e-05,0.001481083,0,0.243396383,0.014191305,0.020690165,0.003560873,5.80877563081418e-05,0.000417768,0,0.002358131,0.372227806,0.028953925,0.00951873,0.01296354,29.60733032,19.2117939,30.22994614
82.5_5m_20220809,82.5,5m,82.5_5m_20220809,North,25.1213425,121.8996135,0,0.184055972,0,0,0.000284654,0,0.001441745,4.0840200779935e-05,0.003153217,0,0,0.002383015,0.000379943,0.000598863,0.004936257,0,0.002012602,0,0.002240823,0.001207936,0,0.000628859,0.000980821,0.225078851,0.025064163,0.078114211,0.006869433,0,0.000762945,7.62348570666223e-06,0.002842283,0.424794183,0.016897,0.010503897,0.004719863,29.60733032,19.2117939,30.22994614
Bianfudong_5m_20210716,Bianfudong,5m,Bianfudong_5m_20210716,North,25.1277,121.83139,0,0.366804226,0,0,0.000632802,0,0.004356022,0.0001779,9.46029845984073e-05,0,0,0,0,0.005877671,0,0,0.00931324,0,0,0,0.000424902,0.006300753,0,0.065343606,0.023001417,0.011397624,0.002744397,0,0,0,0.007060226,0.453087131,0.037113333,0.004568158,0.001701987,29.62391472,19.07783508,29.28829956
Bitoujiao_10m_20160816,Bitoujiao,10m,Bitoujiao_10m_20160816,North,25.12486067,121.918353,0,0.222493474,0.001483309,0,0.000619323,0.00014143,0.001161888,0.004179296,0.000419623,0,0,0.001961756,0,0.00350061,0.002715283,0,0,0,0,0,0,0.002090185,0.000679619,0.167315864,0.007434959,0.020180058,0.005070411,0.0031676,0.000758138,0.000390279,0.022296166,0.384607611,0.134242561,0.005355589,0.007734966,29.60877419,19.36293411,30.22994614
Bitoujiao_5m_20190710,Bitoujiao,5m,Bitoujiao_5m_20190710,North,25.12486067,121.918353,0,0.232356872,0,0,0.000210082,0.000454892,0.000325873,0.0210857,0.002195302,0,0,0.002202622,0,0.000631673,0.004664029,0,0.000131129,0,0.000143316,0,0,0.003310796,0.00024646,0.075666012,0.026289787,0.00530036,0.003470937,0.001476598,0.0001586,0,0.015191766,0.459518728,0.144968466,0,0,29.60877419,19.36293411,30.22994614
Bitoujiao_5m_20210610,Bitoujiao,5m,Bitoujiao_5m_20210610,North,25.12486067,121.918353,0,0.340923736,0,0,0,0,0.000309798,0.001168595,0.001657474,0,0,0,0.00011873,0.000791085,0.000577412,0,0.013686932,0,0,0,5.82815714157616e-05,0.010264138,9.6277521958545e-06,0.17482252,0.004617702,0.023626482,0.006552207,0.001144672,0.001066284,0,0.001328154,0.284671567,0.024522997,0.035543602,0.072538002,29.60877419,19.36293411,30.22994614
Bitoujiao_5m_20220726,Bitoujiao,5m,Bitoujiao_5m_20220726,North,25.12486067,121.918353,0,0.312714554,0,0,0.000935351,0.000196663,0.000106414,6.08313142857143e-05,0.001743631,0,0,0.002763359,0,0.002002666,0.001293384,0,0.001581824,0,0.004426183,0,1.0945816911539e-05,0.009726198,0.000854676,0.189360283,0.006295635,0.012203673,0.001751326,0.000185018,0.000802991,0.000551698,0.003800718,0.37846643,0.015922842,0.029107293,0.023135412,29.60877419,19.36293411,30.22994614
Chaikou_10m_20190404,Chaikou,10m,Chaikou_10m_20190404,Ludao,22.678681,121.480876,3.09599333023734e-05,0.19626297,0.000473649,0,0.000270767,0.003522533,0.003159561,0.030168895,0.005340117,0.001114128,0.000140022,0.012344008,0.005303129,0.008139047,0.005281936,0,0.000550508,0.000257259,0,0.000136484,0,0.008416647,0.000210649,0.198713255,0.009776053,0.005521949,0.003206064,9.26205464047294e-05,0.000869802,0.000872844,0.017545673,0.440611912,0.041555901,0.000110658,0,30.25894165,23.23961067,34.9747467
Chaikou_5m_20220627,Chaikou,5m,Chaikou_5m_20220627,Ludao,22.678681,121.480876,0,0.113381574,0,0.000198928,0.019063741,0.001306004,0.000299554,0.00016518,0,0,0,0.008712973,0.002499224,0.011493973,0.011680067,0,0.000483725,0,0.000283997,1.972833337279e-05,0.000741559,0.013920214,0.015283928,0.288383531,0.037775645,0.091851348,0.018772547,0,9.51418568574316e-05,0,0.096950328,0.232494845,0.033455158,0.00034373,0.000343357,30.25894165,23.23961067,34.9747467
Chaojing_5m_20190712,Chaojing,5m,Chaojing_5m_20190712,North,25.144472,121.8047313,0,0.36105108,0,0,0,0,0.006195287,0.005341817,0.006053882,0,0,0.000968759,0.003132016,0.000988645,0.0020611,0,0.000101998,0,0.000148392,0.000156703,0,0.008647915,0,0.169869646,0.006490956,0.006157675,0.008646101,0.000536167,5.46214685471086e-06,0,0.00456767,0.374492743,0.022015975,0.007654182,0.004715829,29.62391472,19.07783508,29.28829956
Chaojing_5m_20210618,Chaojing,5m,Chaojing_5m_20210618,North,25.144472,121.8047313,0,0.269995626,0,0,0.000548486,0,0.002739198,0.00067768,0,0,0,0,0,0.004398946,0,0,0.018729204,0,0,0,0.004382074,0.085866385,0,0.122030156,0.052503806,0.01653456,0.031332635,0.000204387,9.98098622685118e-05,0,0.004281839,0.328301704,0.026420058,0.006670646,0.024282801,29.62391472,19.07783508,29.28829956
Chaojing_5m_20220809,Chaojing,5m,Chaojing_5m_20220809,North,25.144472,121.8047313,0,0.236258334,0,0,0.000679765,0.000518962,0.000189486,0.000284198,0.001324967,0,0,0.001183439,0,0.003960473,0.0042189,0,0.01149288,0,0.004659055,0.000295772,0.001639043,0.039111856,0.001741346,0.145612932,0.032825099,0.017941381,0.022353569,8.17780951563171e-05,0.000248958,0.000589248,0.003332282,0.393324144,0.026135403,0.024220359,0.025776371,29.62391472,19.07783508,29.28829956
Dabaisha_10m_20170103,Dabaisha,10m,Dabaisha_10m_20170103,Ludao,22.63784767,121.4898957,0,0.084733578,8.48715481714022e-05,0.023355386,0.050127685,0.015500472,0.000654099,0.000111921,8.3723899712471e-05,0.005750894,0.009820019,0.220894861,0.175029094,0.00215173,0.006133034,0,0,0,0,0.000117272,0.000508686,0.015230695,0,0.083065627,0.003198427,0.007312447,0.035946084,0,0.000965338,0.003200352,0.003819306,0.233956033,0.018248363,0,0,30.2981739,23.32548714,35.13315582
Dabaisha_5m_20220701,Dabaisha,5m,Dabaisha_5m_20220701,Ludao,22.63784767,121.4898957,0,0.177587829,0,0,0.000712989,0.007064722,0,0.000640156,8.62884856902609e-05,0,0,0,0.001022258,0.021934373,0.000442499,0,0.006654138,0,2.92295809231514e-05,0,0.02140662,0.065169866,0,0.167083898,0.052984864,0.01058571,0.038007573,0,0.002078415,0.000101413,0.012346372,0.392427708,0.018460543,0.001168561,0.002003975,30.2981739,23.32548714,35.13315582
Dabaisha_5m_20230712,Dabaisha,5m,Dabaisha_5m_20230712,Ludao,22.63784767,121.4898957,0,0.140638236,0,0,0.016432082,0.002073826,0.000599688,7.72454192793553e-05,6.77590573461343e-05,0,0,0.000312301,0.000417967,0.009911983,0.000307488,6.00677364237041e-05,0.043578834,0,0,0,0.005989091,0.04631931,0.000182551,0.157515883,0.192575457,0.015363623,0.016574624,0,0.000161534,0,0.013563196,0.279394048,0.051460614,0.00417237,0.002250221,30.2981739,23.32548714,35.13315582
Dafu_10m_20200611,Dafu,10m,Dafu_10m_20200611,Xiaoliuqiu,22.328371,120.3714064,0,0.102602191,2.26009111325301e-05,0,0.000725059,0.003393408,0.011844282,0.003845707,0.000111733,0,0,8.11694343687592e-05,8.48898465345556e-05,0.00615832,0.000596439,0,0,0,0,0.002308282,0,0.000831098,0.000162101,0.098651476,0.012337778,0.006400785,0.001063414,0.000559377,0.000310358,0,0.005819323,0.659371105,0.082516896,0.00020221,0,30.63549423,22.31768417,40.19467163
Dafu_5m_20210903,Dafu,5m,Dafu_5m_20210903,Xiaoliuqiu,22.328371,120.3714064,0,0.188113598,0,0,0.000712452,4.52516771967052e-05,0.005815403,0.000126073,0.000816765,0,0,0,0,0.001127291,0,0,0.004302458,0,0,0,0,0.022252624,0,0.015104442,0.003625381,0.010398286,0.000308038,0,0.000146588,0,0.000344493,0.718297075,0.026689624,0.001366681,0.000407477,30.63549423,22.31768417,40.19467163
Dafu_5m_20230704,Dafu,5m,Dafu_5m_20230704,Xiaoliuqiu,22.328371,120.3714064,0,0.225785864,0,0,0.000637968,0,0.005258979,6.26020095374078e-05,0.000274327,0,0,0,0,5.48716380403664e-05,0,0,0.000196812,0,0,0.000111871,0.001336494,0.046826298,0,0.016938474,0.002398649,0.008382906,0.000912974,0,0,0,0.003661646,0.61806185,0.06601949,0.001222591,0.001855334,30.63549423,22.31768417,40.19467163
Dengta_5m_20220627,Dengta,5m,Dengta_5m_20220627,Ludao,22.677333,121.46185,0.000169156,0.131169857,0.000938784,0,0.000925112,0.000949034,4.85386023319396e-05,0.000973463,0.000436069,0,0,0.002163913,0.004020036,0.025934305,0.010274052,0,0.003008549,0.000245952,0,0,0.000404003,0.032975505,7.00939091876352e-05,0.162983955,0.004839281,0.014789012,0.031179397,0.000120224,0.006571397,1.18047710272422e-05,0.041250964,0.421651608,0.101288986,0.00060695,0,30.25894165,23.23961067,35.27151871
Dingbaisha_5m_20220409,Dingbaisha,5m,Dingbaisha_5m_20220409,Kenting,21.942043,120.709931,0,0.093895028,0,0,0.009613675,0.004157425,0.000941704,0.005336386,8.89252476190476e-05,0,0,0.003202364,0.000316699,0.015087976,0.000393227,0,0.006583546,0,0.000349396,0.000141773,0.002122549,0.102706455,7.26962762631725e-05,0.083224932,0.008649025,0.008639584,0.005869814,0,0,0,0.004138084,0.621852656,0.019909077,0.001600417,0.001106586,30.56768799,23.24245453,39.20464706
